Date,SPY_PER,SPY_EPS,SPY_signal
2000-01-01,-3.8900000000000006,11.170000000000002,회복
2000-02-01,-4.900000000000002,11.860000000000007,회복
2000-03-01,-5.080000000000002,12.57,회복
2000-04-01,-5.5,12.010000000000005,회복
2000-05-01,-5.699999999999999,11.46,회복
2000-06-01,-4.080000000000002,10.899999999999999,회복
2000-07-01,-4.830000000000002,10.509999999999998,회복
2000-08-01,-2.9200000000000017,10.130000000000003,회복
2000-09-01,-2.6499999999999986,9.740000000000002,회복
2000-10-01,-2.1700000000000017,7.109999999999999,회복
2000-11-01,-2.84,4.459999999999994,회복
2000-12-01,-3.039999999999999,1.8299999999999983,회복
2001-01-01,-1.4800000000000004,-0.6200000000000045,하락
2001-02-01,0.03999999999999915,-3.0600000000000023,정상
2001-03-01,-2.2099999999999973,-5.510000000000005,하락
2001-04-01,-0.5399999999999991,-8.71,하락
2001-05-01,4.530000000000005,-11.93,정상
2001-06-01,5.510000000000002,-15.130000000000003,정상
2001-07-01,7.419999999999998,-18.549999999999997,정상
2001-08-01,9.880000000000003,-21.97,정상
2001-09-01,9.559999999999999,-25.390000000000004,정상
2001-10-01,13.239999999999998,-25.369999999999997,정상
2001-11-01,16.72,-25.33,정상
2001-12-01,19.749999999999996,-25.31,정상
2002-01-01,18.63,-23.789999999999996,정상
2002-02-01,16.750000000000004,-22.26,정상
2002-03-01,20.61,-20.74,정상
2002-04-01,15.850000000000001,-17.180000000000003,정상
2002-05-01,9.389999999999993,-13.610000000000003,정상
2002-06-01,4.25,-10.05,정상
2002-07-01,-3.009999999999998,-6.120000000000001,하락
2002-08-01,-6.32,-2.1999999999999993,하락
2002-09-01,-8.009999999999998,1.7300000000000004,회복
2002-10-01,-10.479999999999997,2.1199999999999974,회복
2002-11-01,-11.589999999999996,2.5100000000000016,회복
2002-12-01,-13.779999999999994,2.8999999999999986,회복
2003-01-01,-14.75,3.8099999999999987,회복
2003-02-01,-16.1,4.710000000000001,회복
2003-03-01,-18.79,5.620000000000001,회복
