"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 02- 01","16,440","16,780","17,270","16,410","4.97M","-2.00%"
"2018- 01- 31","16,775","16,700","16,960","16,615","3.15M","-1.32%"
"2018- 01- 30","17,000","17,160","17,260","16,960","4.15M","-0.70%"
"2018- 01- 29","17,120","16,720","17,195","16,715","2.95M","2.09%"
"2018- 01- 26","16,770","16,450","16,770","16,350","2.14M","1.57%"
"2018- 01- 25","16,510","16,440","16,525","16,230","3.95M","-0.09%"
"2018- 01- 24","16,525","16,765","16,820","16,425","2.82M","-0.24%"
"2018- 01- 23","16,565","16,160","16,565","16,135","2.49M","3.27%"
"2018- 01- 22","16,040","16,090","16,250","15,775","3.78M","-1.23%"
"2018- 01- 19","16,240","16,990","16,995","16,070","4.91M","-4.02%"
"2018- 01- 18","16,920","16,730","16,950","16,620","4.87M","1.41%"
"2018- 01- 17","16,685","17,225","17,315","16,660","5.78M","-2.99%"
"2018- 01- 16","17,200","16,960","17,225","16,745","5.48M","1.03%"
"2018- 01- 15","17,025","16,560","17,040","16,240","6.40M","2.87%"
"2018- 01- 12","16,550","15,755","17,000","15,720","9.24M","5.28%"
"2018- 01- 11","15,720","15,200","15,720","15,085","5.01M","3.56%"
"2018- 01- 10","15,180","15,195","15,380","14,845","3.65M","0.00%"
"2018- 01- 09","15,180","15,300","15,430","15,055","5.13M","-0.52%"
"2018- 01- 08","15,260","14,860","15,300","14,815","4.72M","2.76%"
"2018- 01- 07","14,850","14,850","14,850","14,850","","0.00%"
"2018- 01- 05","14,850","14,330","14,850","14,330","2.55M","3.85%"
"2018- 01- 04","14,300","14,770","14,780","14,195","3.09M","-2.75%"
"2018- 01- 03","14,705","14,530","14,760","14,445","3.41M","1.59%"
"2018- 01- 02","14,475","14,275","14,525","14,235","1.80M","1.65%"
"2017- 12- 28","14,240","14,000","14,240","14,000","2.39M","0.81%"
"2017- 12- 27","14,125","13,675","14,125","13,595","1.40M","5.57%"
"2017- 12- 26","13,380","13,290","13,700","13,290","1.22M","0.64%"
"2017- 12- 25","13,295","13,295","13,295","13,295","","0.00%"
"2017- 12- 22","13,295","12,710","13,295","12,695","980.19K","4.56%"
"2017- 12- 21","12,715","12,910","13,045","12,715","716.99K","-1.97%"
"2017- 12- 20","12,970","13,030","13,185","12,960","701.53K","-1.52%"
"2017- 12- 19","13,170","13,165","13,200","12,845","802.63K","-0.08%"
"2017- 12- 18","13,180","13,300","13,415","13,180","676.30K","-1.13%"
"2017- 12- 15","13,330","13,230","13,425","13,150","673.28K","0.76%"
"2017- 12- 14","13,230","13,525","13,535","13,180","799.90K","-1.45%"
"2017- 12- 13","13,425","13,305","13,560","13,250","1.32M","1.32%"
"2017- 12- 12","13,250","13,415","13,470","13,115","916.75K","-0.97%"
"2017- 12- 11","13,380","12,925","13,380","12,925","699.24K","3.68%"
"2017- 12- 08","12,905","13,000","13,180","12,895","748.22K","-1.04%"
"2017- 12- 07","13,040","13,325","13,405","12,855","1.25M","-2.14%"
"2017- 12- 06","13,325","13,540","13,715","13,230","931.28K","-1.22%"
"2017- 12- 05","13,490","13,775","13,815","13,490","894.69K","-2.21%"
"2017- 12- 04","13,795","13,990","13,990","13,725","717.88K","-1.25%"
"2017- 12- 01","13,970","13,690","13,995","13,675","875.74K","3.14%"
"2017- 11- 30","13,545","13,720","13,785","13,515","714.24K","-1.46%"
"2017- 11- 29","13,745","13,575","13,805","13,480","2.68M","1.40%"
"2017- 11- 28","13,555","14,200","14,200","13,555","1.21M","-3.87%"
"2017- 11- 27","14,100","14,090","14,265","13,910","1.19M","-0.39%"
"2017- 11- 24","14,155","14,365","14,495","14,155","1.98M","-2.08%"
"2017- 11- 23","14,455","13,915","14,455","13,735","1.91M","3.36%"
"2017- 11- 22","13,985","14,525","14,525","13,985","1.46M","-2.81%"
"2017- 11- 21","14,390","14,330","14,570","14,270","1.99M","0.56%"
"2017- 11- 20","14,310","13,995","14,310","13,995","1.44M","2.14%"
"2017- 11- 17","14,010","14,125","14,155","13,910","1.47M","-1.48%"
"2017- 11- 16","14,220","14,020","14,230","13,670","2.46M","1.83%"
"2017- 11- 15","13,965","13,660","14,100","13,560","2.54M","2.80%"
"2017- 11- 14","13,585","13,160","13,590","13,080","3.10M","3.70%"
"2017- 11- 13","13,100","12,600","13,110","12,550","2.33M","4.17%"
"2017- 11- 10","12,575","12,355","12,575","12,355","1.24M","1.66%"
"2017- 11- 09","12,370","12,410","12,445","12,260","1.15M","-0.20%"
"2017- 11- 08","12,395","12,220","12,395","12,175","721.12K","1.77%"
"2017- 11- 07","12,180","12,330","12,330","12,095","796.74K","-0.90%"
"2017- 11- 06","12,290","12,235","12,310","12,150","865.99K","0.53%"
"2017- 11- 03","12,225","12,115","12,225","12,080","539.50K","1.62%"
"2017- 11- 02","12,030","12,060","12,130","11,950","579.63K","0.08%"
"2017- 11- 01","12,020","12,040","12,075","12,000","493.09K","-0.17%"
"2017- 10- 31","12,040","11,980","12,040","11,920","888.33K","0.92%"
"2017- 10- 30","11,930","11,975","12,000","11,885","949.76K","-0.42%"
"2017- 10- 27","11,980","11,740","11,980","11,730","724.55K","2.04%"
"2017- 10- 26","11,740","11,975","11,975","11,725","592.70K","-1.92%"
"2017- 10- 25","11,970","11,960","12,000","11,865","604.12K","0.08%"
"2017- 10- 24","11,960","11,640","11,960","11,640","648.28K","2.57%"
