"날짜","종가","시가","고가","저가","거래량","변동 %"
"2012- 09- 17","110.23","110.22","110.23","110.22","150.64K","0.00%"
"2012- 09- 14","110.23","110.23","110.23","110.22","321.70K","0.00%"
"2012- 09- 13","110.23","110.22","110.23","110.21","240.68K","0.01%"
"2012- 09- 12","110.22","110.21","110.22","110.21","98.54K","0.00%"
"2012- 09- 11","110.22","110.21","110.22","110.21","160.28K","0.00%"
"2012- 09- 10","110.22","110.22","110.22","110.21","188.49K","0.00%"
"2012- 09- 07","110.22","110.21","110.22","110.21","302.13K","0.00%"
"2012- 09- 06","110.22","110.21","110.22","110.20","200.28K","0.00%"
"2012- 09- 05","110.22","110.21","110.22","110.21","83.96K","0.00%"
"2012- 09- 04","110.22","110.21","110.23","110.21","593.71K","-0.01%"
"2012- 08- 31","110.23","110.21","110.23","110.21","116.54K","0.01%"
"2012- 08- 30","110.22","110.22","110.22","110.21","149.15K","0.01%"
"2012- 08- 29","110.21","110.21","110.22","110.21","198.91K","-0.01%"
"2012- 08- 28","110.22","110.21","110.22","110.21","133.29K","0.00%"
"2012- 08- 27","110.22","110.22","110.22","110.21","269.68K","0.00%"
"2012- 08- 24","110.22","110.22","110.22","110.21","3.25M","0.00%"
"2012- 08- 23","110.22","110.20","110.22","110.20","134.08K","0.02%"
"2012- 08- 22","110.20","110.20","110.21","110.20","104.06K","0.00%"
"2012- 08- 21","110.20","110.20","110.21","110.20","261.43K","0.00%"
"2012- 08- 20","110.20","110.21","110.21","110.20","136.71K","-0.01%"
"2012- 08- 17","110.21","110.20","110.21","110.20","104.23K","0.00%"
"2012- 08- 16","110.21","110.19","110.21","110.19","317.59K","0.01%"
"2012- 08- 15","110.20","110.20","110.21","110.19","214.79K","-0.01%"
"2012- 08- 14","110.21","110.20","110.21","110.20","84.36K","0.00%"
"2012- 08- 13","110.21","110.22","110.22","110.20","72.30K","0.00%"
"2012- 08- 10","110.21","110.20","110.21","110.20","106.62K","0.01%"
"2012- 08- 09","110.20","110.20","110.21","110.20","241.49K","0.00%"
"2012- 08- 08","110.20","110.20","110.21","110.20","158.67K","-0.01%"
"2012- 08- 07","110.21","110.20","110.21","110.20","293.53K","0.01%"
"2012- 08- 06","110.20","110.23","110.23","110.20","409.57K","-0.02%"
"2012- 08- 03","110.22","110.21","110.22","110.20","460.35K","0.00%"
"2012- 08- 02","110.22","110.21","110.22","110.21","158.43K","0.01%"
"2012- 08- 01","110.21","110.20","110.22","110.20","229.87K","0.00%"
"2012- 07- 31","110.21","110.20","110.21","110.20","203.15K","0.01%"
"2012- 07- 30","110.20","110.20","110.21","110.20","528.65K","-0.01%"
"2012- 07- 27","110.21","110.20","110.21","110.19","249.41K","0.01%"
"2012- 07- 26","110.20","110.20","110.21","110.20","319.92K","0.00%"
"2012- 07- 25","110.20","110.20","110.22","110.20","489.39K","-0.01%"
"2012- 07- 24","110.21","110.22","110.22","110.20","278.36K","0.00%"
"2012- 07- 23","110.21","110.20","110.22","110.20","210.97K","0.01%"
"2012- 07- 20","110.20","110.20","110.21","110.20","113.41K","0.00%"
"2012- 07- 19","110.20","110.21","110.23","110.20","173.94K","-0.01%"
"2012- 07- 18","110.21","110.20","110.22","110.20","222.11K","0.01%"
"2012- 07- 17","110.20","110.20","110.22","110.20","107.09K","0.00%"
"2012- 07- 16","110.20","110.20","110.21","110.20","134.63K","-0.01%"
"2012- 07- 13","110.21","110.19","110.21","110.19","84.67K","0.01%"
"2012- 07- 12","110.20","110.21","110.21","110.20","59.80K","0.00%"
"2012- 07- 11","110.20","110.20","110.21","110.19","105.11K","0.00%"
"2012- 07- 10","110.20","110.19","110.21","110.19","92.88K","-0.01%"
"2012- 07- 09","110.21","110.20","110.21","110.19","1.65M","0.00%"
"2012- 07- 06","110.21","110.21","110.21","110.20","157.53K","0.01%"
"2012- 07- 05","110.20","110.21","110.21","110.20","187.42K","-0.01%"
"2012- 07- 03","110.21","110.21","110.22","110.20","281.50K","0.01%"
"2012- 07- 02","110.20","110.23","110.23","110.20","2.29M","-0.01%"
"2012- 06- 29","110.21","110.20","110.22","110.19","421.31K","0.00%"
"2012- 06- 28","110.21","110.22","110.22","110.20","67.43K","0.02%"
"2012- 06- 27","110.19","110.20","110.21","110.19","181.45K","-0.01%"
"2012- 06- 26","110.20","110.20","110.22","110.19","98.62K","-0.01%"
"2012- 06- 25","110.21","110.20","110.21","110.20","84.25K","0.00%"
"2012- 06- 22","110.21","110.20","110.21","110.20","148.41K","-0.01%"
"2012- 06- 21","110.22","110.20","110.22","110.20","269.15K","0.01%"
"2012- 06- 20","110.21","110.20","110.22","110.20","215.21K","0.00%"
"2012- 06- 19","110.21","110.20","110.22","110.20","153.86K","0.01%"
"2012- 06- 18","110.20","110.21","110.22","110.20","149.36K","-0.01%"
"2012- 06- 15","110.21","110.21","110.21","110.20","142.63K","-0.01%"
"2012- 06- 14","110.22","110.20","110.22","110.20","167.03K","0.00%"
"2012- 06- 13","110.22","110.21","110.22","110.21","102.36K","0.00%"
"2012- 06- 12","110.22","110.22","110.22","110.20","292.55K","0.00%"
"2012- 06- 11","110.22","110.21","110.22","110.20","89.87K","0.01%"
"2012- 06- 08","110.21","110.20","110.21","110.20","91.40K","0.01%"
"2012- 06- 07","110.20","110.22","110.22","110.20","210.95K","-0.02%"
"2012- 06- 06","110.22","110.21","110.22","110.20","388.28K","0.00%"
"2012- 06- 05","110.22","110.21","110.22","110.21","152.14K","0.00%"
"2012- 06- 04","110.22","110.22","110.22","110.20","287.44K","0.03%"
"2012- 06- 01","110.19","110.23","110.24","110.18","465.99K","-0.03%"
"2012- 05- 31","110.22","110.19","110.22","110.19","350.38K","0.01%"
"2012- 05- 30","110.21","110.19","110.21","110.19","327.37K","0.00%"
"2012- 05- 29","110.21","110.19","110.21","110.19","124.67K","0.00%"
"2012- 05- 25","110.21","110.20","110.21","110.17","70.68K","0.01%"
"2012- 05- 24","110.20","110.20","110.21","110.19","132.22K","0.01%"
"2012- 05- 23","110.19","110.19","110.21","110.19","149.76K","0.00%"
"2012- 05- 22","110.19","110.19","110.20","110.18","181.54K","0.00%"
"2012- 05- 21","110.19","110.20","110.21","110.18","328.03K","0.01%"
"2012- 05- 18","110.18","110.19","110.23","110.18","443.08K","-0.01%"
"2012- 05- 17","110.19","110.19","110.21","110.19","585.83K","0.00%"
"2012- 05- 16","110.19","110.20","110.20","110.19","244.21K","-0.01%"
"2012- 05- 15","110.20","110.19","110.21","110.19","414.05K","0.01%"
"2012- 05- 14","110.19","110.19","110.20","110.19","198.04K","-0.01%"
"2012- 05- 11","110.20","110.21","110.21","110.18","133.59K","-0.01%"
"2012- 05- 10","110.21","110.20","110.21","110.19","377.67K","0.02%"
"2012- 05- 09","110.19","110.19","110.21","110.19","243.61K","-0.02%"
"2012- 05- 08","110.21","110.20","110.21","110.19","570.15K","0.01%"
"2012- 05- 07","110.20","110.19","110.21","110.19","610.03K","-0.01%"
"2012- 05- 04","110.21","110.19","110.21","110.18","271.93K","0.03%"
"2012- 05- 03","110.18","110.19","110.21","110.18","167.89K","-0.01%"
"2012- 05- 02","110.19","110.19","110.21","110.19","58.78K","-0.01%"
"2012- 05- 01","110.20","110.19","110.22","110.18","413.77K","0.01%"
"2012- 04- 30","110.19","110.19","110.20","110.19","92.28K","-0.01%"
"2012- 04- 27","110.20","110.19","110.20","110.18","74.68K","0.01%"
"2012- 04- 26","110.19","110.19","110.20","110.19","118.48K","0.00%"
"2012- 04- 25","110.19","110.19","110.20","110.19","182.50K","0.00%"
"2012- 04- 24","110.19","110.19","110.20","110.19","117.62K","0.00%"
"2012- 04- 23","110.19","110.19","110.21","110.19","337.49K","0.00%"
"2012- 04- 20","110.19","110.21","110.21","110.19","136.71K","-0.01%"
"2012- 04- 19","110.20","110.21","110.21","110.19","159.98K","0.00%"
"2012- 04- 18","110.20","110.19","110.21","110.19","66.18K","-0.01%"
"2012- 04- 17","110.21","110.20","110.21","110.20","85.93K","0.00%"
"2012- 04- 16","110.21","110.20","110.22","110.20","92.68K","-0.01%"
"2012- 04- 13","110.22","110.20","110.22","110.19","257.27K","0.02%"
"2012- 04- 12","110.20","110.19","110.20","110.19","127.26K","0.01%"
"2012- 04- 11","110.19","110.20","110.20","110.18","188.23K","0.00%"
"2012- 04- 10","110.19","110.18","110.20","110.18","377.25K","0.01%"
"2012- 04- 09","110.18","110.18","110.20","110.18","157.20K","0.00%"
"2012- 04- 05","110.18","110.18","110.20","110.18","133.55K","0.00%"
"2012- 04- 04","110.18","110.18","110.19","110.18","247.76K","0.00%"
"2012- 04- 03","110.18","110.20","110.20","110.18","193.42K","-0.02%"
