"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 09- 22","9,610","9,655","9,675","9,600","331.70K","-0.47%"
"2020- 09- 21","9,655","9,780","9,780","9,640","443.27K","-1.93%"
"2020- 09- 18","9,845","9,885","9,900","9,810","46.56K","-0.05%"
"2020- 09- 17","9,850","10,055","10,055","9,850","76.38K","-2.52%"
"2020- 09- 16","10,105","10,095","10,130","10,085","36.48K","0.10%"
"2020- 09- 15","10,095","10,080","10,105","10,060","36.14K","0.20%"
"2020- 09- 14","10,075","10,085","10,085","10,030","31.63K","0.05%"
"2020- 09- 11","10,070","10,000","10,075","10,000","94.93K","-0.98%"
"2020- 09- 10","10,170","10,190","10,190","10,110","76.12K","1.95%"
"2020- 09- 09","9,975","9,840","10,145","9,840","105.65K","-3.06%"
"2020- 09- 08","10,290","10,260","10,300","10,250","80.93K","1.23%"
"2020- 09- 07","10,165","10,205","10,230","10,165","59.57K","-1.60%"
"2020- 09- 04","10,330","10,285","10,365","10,280","121.34K","-3.46%"
"2020- 09- 03","10,700","10,695","10,720","10,680","110.36K","1.18%"
"2020- 09- 02","10,575","10,560","10,585","10,550","109.16K","1.24%"
"2020- 09- 01","10,445","10,475","10,475","10,435","83.05K","-0.71%"
"2020- 08- 31","10,520","10,475","10,520","10,455","180.18K","0.48%"
"2020- 08- 28","10,470","10,430","10,475","10,420","100.49K","0.92%"
"2020- 08- 27","10,375","10,370","11,000","10,370","110.48K","0.63%"
"2020- 08- 26","10,310","10,315","10,325","10,295","96.10K","0.10%"
"2020- 08- 25","10,300","10,320","10,320","10,270","391.62K","0.73%"
"2020- 08- 24","10,225","10,190","10,230","10,190","156.52K","0.89%"
"2020- 08- 21","10,135","10,105","10,150","10,105","67.96K","0.85%"
"2020- 08- 20","10,050","10,055","10,060","10,010","79.49K","-0.59%"
"2020- 08- 19","10,110","10,105","10,135","10,090","84.39K","0.20%"
"2020- 08- 18","10,090","10,125","10,130","10,090","78.47K","-0.05%"
"2020- 08- 14","10,095","10,110","10,110","10,070","216.67K","0.40%"
"2020- 08- 13","10,055","10,090","10,090","10,045","159.15K","0.50%"
"2020- 08- 12","10,005","9,985","10,010","9,945","66.34K","-0.40%"
"2020- 08- 11","10,045","10,045","10,055","10,030","81.11K","0.10%"
"2020- 08- 10","10,035","10,010","10,050","10,005","207.01K","0.25%"
