,signal,date
0,회복,2000-01-01
1,하락,2001-01-01
2,정상,2001-02-01
3,하락,2001-03-01
4,정상,2001-05-01
5,하락,2002-07-01
6,회복,2002-09-01
7,상승,2007-05-01
8,정상,2007-10-01
9,회복,2009-11-01
10,상승,2012-08-01
11,정상,2012-09-01
12,상승,2013-04-01
13,정상,2015-02-01
14,상승,2016-10-01
15,회복,2016-11-01
16,상승,2016-12-01
17,회복,2017-04-01
18,상승,2017-10-01
19,회복,2018-03-01
20,상승,2019-09-01
21,정상,2020-01-01
22,상승,2021-03-01
23,회복,2021-06-01
24,하락,2022-10-01
25,정상,2023-02-01
