"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",102.3806,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",102.3154,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",102.0423,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.5905,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",101.0311,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.4855,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.98386,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.50001,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.05083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.72035,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.53376,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.48029,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.55927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",98.76869,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.09205,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.48258,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.91585,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.3317,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.6519,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.7979,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.6571,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.1218,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.22204,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.08601,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",96.89821,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",95.92834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",95.29062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",95.02234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",95.10859,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",95.47498,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",95.99207,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",96.62695,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",97.36667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.14189,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",98.89019,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.55162,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.1263,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.9581,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",101.1274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",101.1072,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.9522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.7096,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.4214,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.1948,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.1676,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.3079,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.6061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.9726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",101.2671,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",101.4108,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",101.3532,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",101.0856,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.6682,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",100.1991,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.72292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.24448,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",98.73044,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.22292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",97.76405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",97.37923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",97.0385,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",96.77751,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",96.64734,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",96.6944,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",96.87663,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",97.10143,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",97.28788,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",97.3844,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",97.3792,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",97.30695,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",97.18497,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",97.04879,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",96.9481,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",96.89317,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",96.89594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",96.97484,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",97.13298,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",97.39751,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",97.81223,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",98.40187,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.12184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",99.93996,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.8454,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.7514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",102.622,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",103.4299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",104.1641,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",104.8282,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",105.3871,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",105.8959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",106.4057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",106.8513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",107.0952,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",107.0822,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",106.9037,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",106.6731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",106.4612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",106.3203,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",106.1948,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",106.028,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",105.7834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",105.5146,
